name,label
Kashani,Kashani
Kekechu,Kekechu
Kibanda nguruwe,Kibanda nguruwe
Kibandarini,Kibandarini
Kibenderani,Kibenderani
Kiboyani,Kiboyani
Kichaange,Kichaange
Kichanjaani,Kichanjaani
Kichongoma,Kichongoma
Kidibwa zimwi,Kidibwa zimwi
Kidutani,Kidutani
Kifimbo,Kifimbo
Kigambani,Kigambani
Kigongoni,Kigongoni
Kijaani,Kijaani
Kijamba hasani,Kijamba hasani
Kijamba joto,Kijamba joto
Kijambani,Kijambani
Kijito uvundo,Kijito uvundo
Kijiwe mtama,Kijiwe mtama
Kijiweni,Kijiweni
Kijumbani,Kijumbani
Kikaango,Kikaango
Kikunjuu,Kikunjuu
Kimaa,Kimaa
Kimaha,Kimaha
Kimio,Kimio
Kimwaga,Kimwaga
Kinazini,Kinazini
Kiooni,Kiooni
Kipiani,Kipiani
Kipwa abasi,Kipwa abasi
Kipwa cha kati,Kipwa cha kati
Kipwa kidogo,Kipwa kidogo
Kipwa kikuu,Kipwa kikuu
Kipwa kome,Kipwa kome
Kipwaharusi,Kipwaharusi
Kipwani,Kipwani
Kirironi,Kirironi
Kiroba,Kiroba
Kiruku,Kiruku
Kisiwa koongo,Kisiwa koongo
Kisiwani,Kisiwani
Kitanlini,Kitanlini
Kitopeni,Kitopeni
Kitubwi,Kitubwi
Kitunga,Kitunga
Kitungamwe,Kitungamwe
Kitwani,Kitwani
Kiuli,Kiuli
Kivunja,Kivunja
Kiwandani,Kiwandani
Kiweni,Kiweni
Kizambarauni,Kizambarauni
Kizingani,Kizingani
Kiziwaziwani,Kiziwaziwani
Kizizi,Kizizi
Kizungu,Kizungu
Kokota,Kokota
Koleo,Koleo
Komboame,Komboame
Kondoni,Kondoni
Kongoo,Kongoo
Kongoo majini,Kongoo majini
Kongoo mchele,Kongoo mchele
Kongoo ya kati,Kongoo ya kati
Kongoo ya kiuyu,Kongoo ya kiuyu
Kongooo,Kongooo
Kota kubwa,Kota kubwa
Kumwilikiza,Kumwilikiza
Kundeni,Kundeni
Kwa bipopo,Kwa bipopo
Kwa jundo,Kwa jundo
Kwa kikofia,Kwa kikofia
Kwa mahenge,Kwa mahenge
Kwa mnene,Kwa mnene
Kwa mwanakondo,Kwa mwanakondo
Kwa mzungu,Kwa mzungu
Kwa Ufunguo,Kwa Ufunguo
Kwaalijuma,Kwaalijuma
Kwaka,Kwaka
Kwale,Kwale
Kwamaduvi,Kwamaduvi
Kwamchodo,Kwamchodo
Kwamwadin,Kwamwadin
Kwamwana maua,Kwamwana maua
Kwasharifu,Kwasharifu
Kwasoka,Kwasoka
Kwata,Kwata
Kwatabia,Kwatabia
Kwatii,Kwatii
Kwawa,Kwawa
Kwikwiri,Kwikwiri
Lengwe,Lengwe
Likokuu,Likokuu
Maanda,Maanda
Maboyani,Maboyani
Machaleni,Machaleni
Machanga raweni,Machanga raweni
Machaweni,Machaweni
Machemeni,Machemeni
Machewa,Machewa
Mafunguni,Mafunguni
Magambareni,Magambareni
Magogoni,Magogoni
Magomeni,Magomeni
Magongoni,Magongoni
Magorofani,Magorofani
Mahanda,Mahanda
Mahujuu,Mahujuu
Majambani,Majambani
Majanini,Majanini
Majimbuni,Majimbuni
Majini,Majini
Majunguni,Majunguni
Makochoo,Makochoo
Makomango,Makomango
Makoongeni,Makoongeni
Makoongwe,Makoongwe
Makoroni,Makoroni
Makutani,Makutani
Malumbo,Malumbo
Manooni,Manooni
Manuka,Manuka
Mapakacha,Mapakacha
Mapanya,Mapanya
Mapuku,Mapuku
Marombo,Marombo
Marukani,Marukani
Masulini,Masulini
Mataani,Mataani
Matisharini,Matisharini
Matoma,Matoma
Matumbini,Matumbini
Maua,Maua
Mavumoni,Mavumoni
Mawarani,Mawarani
Mawe mawili,Mawe mawili
Mawe ng'ombe,Mawe ng'ombe
Mawe papa,Mawe papa
Maweni,Maweni
Mazioni,Mazioni
Mbaringo,Mbaringo
Mbolea,Mbolea
Mchanga Mkuu,Mchanga Mkuu
Mchanganyiko wa maengo,Mchanganyiko wa maengo
Mchanganyiko wa mwaundu,Mchanganyiko wa mwaundu
Mchichani,Mchichani
Mchumba,Mchumba
Mdomoni,Mdomoni
Meli mbovu,Meli mbovu
Mgongo,Mgongo
Mgongo mdogo,Mgongo mdogo
Mgongo mrefu,Mgongo mrefu
Miamba mitano,Miamba mitano
Miamba mitatu,Miamba mitatu
Michecheni,Michecheni
Miembeni,Miembeni
Mikokoni,Mikokoni
Mikonge,Mikonge
Mikoroshoni,Mikoroshoni
Milango ya kichalikani,Milango ya kichalikani
Milango ya vyeru,Milango ya vyeru
Milangoni,Milangoni
Milangoni juu,Milangoni juu
Minarani,Minarani
Misali,Misali
Mistarini,Mistarini
Mivinjeni,Mivinjeni
Mkadini,Mkadini
Mkondoni,Mkondoni
Mkumbi,Mkumbi
Mkumbuu,Mkumbuu
Mlango wa mwaboza,Mlango wa mwaboza
Mlangoni,Mlangoni
Mlimani,Mlimani
Mnarani,Mnarani
Mnazini,Mnazini
Mnyang'a,Mnyang'a
Moa,Moa
Monga,Monga
Monga kidibwani,Monga kidibwani
Msalakani,Msalakani
Msanakani,Msanakani
Msiro,Msiro
Mtambwe,Mtambwe
Mto kiongwe,Mto kiongwe
Mto nyimbi,Mto nyimbi
Mto pacha,Mto pacha
Mto tenga,Mto tenga
Mto wa Kinazini,Mto wa Kinazini
Mto wa meli,Mto wa meli
Mto wa mkauni,Mto wa mkauni
Mto wa pili,Mto wa pili
Mto wa tatu,Mto wa tatu
Mtoni,Mtoni
Muangwi,Muangwi
Mueme,Mueme
Muhazingwa,Muhazingwa
Muheme,Muheme
Muinzi,Muinzi
Muwangwi,Muwangwi
Mvinjeni,Mvinjeni
Mvuleni,Mvuleni
Mvumokiongo,Mvumokiongo
Mvumon,Mvumon
Mvumoni,Mvumoni
Mwagisi,Mwagisi
Mwamba,Mwamba
Mwamba kipande,Mwamba kipande
Mwamba nyama,Mwamba nyama
Mwamba sada,Mwamba sada
Mwamba undu,Mwamba undu
Mwamba wa kwanza,Mwamba wa kwanza
Mwamba wa pili,Mwamba wa pili
Mwamba wa tatu,Mwamba wa tatu
Mwambani,Mwambani
Mwambuyu,Mwambuyu
Mwanan'gombe,Mwanan'gombe
Mwandusi,Mwandusi
Mwangola,Mwangola
Mwangwi,Mwangwi
Mwanini,Mwanini
Mwaore,Mwaore
Mwavirizi,Mwavirizi
Mwaza ng'ombe ,Mwaza ng'ombe 
Mzingani,Mzingani
Nagoka,Nagoka
Namba wani,Namba wani
Ndagoni,Ndagoni
Nduani,Nduani
Ngagu,Ngagu
Ng'ande,Ng'ande
Nganyawani,Nganyawani
Ngazi,Ngazi
Ngazini,Ngazini
Ngowani,Ngowani
Nguwi,Nguwi
Ningani,Ningani
Nyuli,Nyuli
Nyulo,Nyulo
Nyuma matumbini,Nyuma matumbini
Nyuma mji,Nyuma mji
Nyuma ya fungu,Nyuma ya fungu
Pandaguli,Pandaguli
Pandu,Pandu
Pandwe,Pandwe
Pasi,Pasi
Pembe,Pembe
Pononi,Pononi
Pwachi,Pwachi
Pwakuu,Pwakuu
Pwavile,Pwavile
Randaule,Randaule
Rasini,Rasini
Roho ya mtu,Roho ya mtu
Roma,Roma
Roo,Roo
Setule,Setule
Shangaa,Shangaa
Shapandu,Shapandu
Shika shika,Shika shika
Shimoni,Shimoni
Shiteni,Shiteni
Siau,Siau
Taa,Taa
Tawalani,Tawalani
Transifoma,Transifoma
Uchuwi,Uchuwi
Ufuma,Ufuma
Ugongo mdogo,Ugongo mdogo
Ugongo mrefu,Ugongo mrefu
Ukai,Ukai
Ukutani,Ukutani
Ulenge,Ulenge
Ulenge mnarani,Ulenge mnarani
Umandeni,Umandeni
Undu,Undu
Uvinje,Uvinje
Uzilo,Uzilo
Uzini,Uzini
Uziwani,Uziwani
Vibunju,Vibunju
Vijiwe vitatu,Vijiwe vitatu
Vijiwe viwili,Vijiwe viwili
Vikunguni,Vikunguni
Viongoni,Viongoni
Vitatuni,Vitatuni
Vitundu vitatu,Vitundu vitatu
Vyeru,Vyeru
Vyongoni,Vyongoni
Wacha,Wacha
Wamba,Wamba
Wamba funguni,Wamba funguni
Wamba ugawani,Wamba ugawani
Wandaule,Wandaule
Wavu wa shimo,Wavu wa shimo
Zigi,Zigi
Zioni,Zioni
Bamvua shimo,Bamvua shimo
