village,fishing_ground,x,y
Stahabu,Kipwa kikuu,,
Stahabu,Matumbini,,
Stahabu,Bwachini,,
Stahabu,Kwa mwanakondo,,
Stahabu,Kwa jundo,,
Stahabu,Fungu ndogo,,
Stahabu,Makoongwe,,
Stahabu,Funguni,,
Chokocho,Jombe,,
Chokocho,Ngowani,,
Chokocho,Likokuu,,
Chokocho,Matumbini,,
Chokocho,Mwanini,,
Chokocho,Vijiwe vitatu,,
Chokocho,Mapuku,,
Chokocho,Kwasharifu,,
Chokocho,Kibenderani,,
Chokocho,Funguni,39.66972324,-5.438057799
Chokocho,Mwambani,,
Chokocho,Kisiwani,,
Chokocho,Kwata,,
Shidi,Chachani,,
Chokocho,Chamba,,
Chokocho,Kichaange,,
Shidi,Kwasharifu,,
Shidi,Namba wani,,
Shidi,Jiwe kungu,,
Chokocho,Makoongwe,,
Chokocho,Kiziwaziwani,,
Chokocho,Mto wa pili,,
Chokocho,Pandaguli,,
Chokocho,Rasini,,
Chokocho,Michecheni,39.63452459,-5.427555293
Chokocho,Fungu kubwa,,
Chokocho,Ngazi,,
Chokocho,Mto nyimbi,,
Chokocho,Kizungu,,
Chokocho,Roma,,
Chokocho,Jomani,39.64758426,-5.439918246
Chokocho,Kwaalijuma,,
Michungwani,Zioni,,
Michungwani,Kichanjaani,,
Michungwani,Jamba la kati,,
Michungwani,Javini,,
Michungwani,Muangwi,,
Michungwani,Funguni mkumbuu,,
Michungwani,Kivunja,,
Ziwani,Pandwe,,
Ziwani,Mkumbuu,,
Ziwani,Dongoni,,
Ziwani,Kiuli,,
Ziwani,Funzi,,
Ziwani,Muwangwi,,
Ziwani,Mapanya,,
Ziwani,Makoongeni,,
Tumbe,Pwavile,,
Tumbe,Rasini,,
Tumbe,Imu,,
Tumbe,Kiweni,,
Tumbe,Kongoo,,
Tumbe,Uzini,,
Tumbe,Mnarani,,
Tumbe,Farumuni,,
Tumbe,Kongoo ya kati,,
Tumbe,Shiteni,,
Tumbe,Kundeni,,
Tumbe,Jambani,,
Shumba,Mnarani,,
Shumba,Kongoo,,
Chongoleani,Funguni,,
Chongoleani,Kwawa,39.15466463,-5.00342442
Chongoleani,Milangoni,,
Kichalikani,Uchuwi,,
Kichalikani,Wamba,,
Chongoleani,Chongoma,,
Kichalikani,Kizingani,,
Kichalikani,Chundo,,
Kichalikani,Kimaha,,
Chongoleani,Wamba,,
Mpirani,Mwamba nyama,,
Mpirani,Kizingani,,
Mpirani,Marombo,,
Mpirani,Mnarani,,
Mpirani,Taa,,
Mpirani,Nyuli,,
Mpirani,Kigambani,,
Mpirani,Kirironi,,
Mpirani,Jameo,,
Mpirani,Kwale,,
Chongoleani,Baswara,,
Kwale Tanga,Wacha,,
Kwale Tanga,Chundo,,
Kwale Tanga,Kiroba,,
Kwale Tanga,Ulenge,,
Chongoleani,Ufuma,,
Chongoleani,Ningani,39.14764914,-4.992610607
Putini,Azina,,
Chongoleani,Jiweni,,
Putini,Magorofani,,
Putini,Kitunga,,
Putini,Marombo,,
Putini,Namba wani,,
Putini,Taa,,
Putini,Mtambwe,,
Putini,Kwamchodo,,
Putini,Kwasoka,,
Putini,Mahanda,,
Putini,Nganyawani,,
Putini,Chatahani,,
Putini,Alamani,,
Chongoleani,Ulenge mnarani,,
Putini,Jagwa,,
Putini,Kwawa,,
Putini,Mchumba,,
Putini,Roma,,
Chongoleani,Mawe mawili,,
Putini,Nyulo,,
Putini,Wamba,,
Mpirani,Mnyang'a,,
Putini,Roho ya mtu,,
Putini,Makomango,,
Putini,Mwagisi,,
Mpirani,Kzingani,,
Monga Vyeru,Chundo,,
Monga Vyeru,Wamba,,
Monga Vyeru,Kiroba,,
Mwandusi,Mkumbi,,
Mwandusi,Uchuwi,,
Mwandusi,Mnarani,,
Mwandusi,Chambani,,
Mwandusi,Maboyani,,
Mwandusi,Kidutani,,
Ndaoya,Kitunga,,
Mwandusi,Kigongoni,,
Chongoleani,Kichongoma,,
Mwandusi,Wamba,,
Ndaoya,Kijambani,,
Mwandusi,Machewa,,
Ndaoya,Kwasoka,,
Ndaoya,Taa,,
Mwandusi,Mkumbi,,
Mpirani,Mvinjeni,,
Chongoleani,Kwamaduvi,,
Kwale Tanga,Mwamba nyama,,
Ndaoya,Ulenge,,
Ndaoya,Jambe rasini,,
Mwandusi,Magogoni,,
Kwale Tanga,Mawe mawili,,
Kwale Tanga,Mkumbi,,
Kwale Tanga,Muheme,,
Kwale Tanga,Mnazini,,
Kwale Tanga,Uchuwi,,
Mwandusi,Chamba cha mnazini,,
Kichalikani,Mataani,,
Mwandusi,Guzoni,,
Kwale Tanga,Wandaule,,
Mwandusi,Kiooni,,
Kichalikani,Mlangoni,,
Kichalikani,Kinazini,,
Mwandusi,Setule,,
Kichalikani,Rasini,,
Monga Vyeru,Mkumbi,,
Monga Vyeru,Undu,,
Kichalikani,Milangoni,,
Kizingani,Kizingani,,
Kwale Tanga,Mwambuyu,,
Monga Vyeru,Vyongoni,,
Monga Vyeru,Kwa mzungu,,
Monga Vyeru,Shimoni,,
Monga Vyeru,Mivinjeni,,
Monga Vyeru,Mkadini,,
Monga Vyeru,Funguni,,
Monga Vyeru,Chamba monga,,
Monga Vyeru,Kizingani,,
Monga Vyeru,Milangoni,,
Monga Vyeru,Kibandarini,,
Monga Vyeru,Setule,,
Monga Vyeru,Chamba vyeru,,
Monga Vyeru,Milango ya vyeru,,
Monga Vyeru,Uchuwi,,
Monga Vyeru,Mlango wa mwaboza,,
Monga Vyeru,Tawalani,,
Monga Vyeru,Jiwe la wanda,,
Monga Vyeru,Chamba kwale,,
Monga Vyeru,Fungu boma,,
Monga Vyeru,Milango ya kichalikani,,
Monga Vyeru,Mwandusi,,
Monga Vyeru,Moa,,
Monga Vyeru,Kwale,,
Monga Vyeru,Monga kidibwani,,
Monga Vyeru,Milangoni juu,,
Monga Vyeru,Monga,,
Monga Vyeru,Vyeru,,
Monga Vyeru,Majambani,,
Monga Vyeru,Maweni,,
Monga Vyeru,Mataani,,
Monga Vyeru,Magongoni,,
Monga Vyeru,Viongoni,,
Kizingani,Mnarani,,
Kizingani,Funguni,,
Kizingani,Mataani,,
Kizingani,Nyuli,,
Kizingani,Machanga raweni,,
Kizingani,Boya chupa,,
Kizingani,Mueme,,
Kizingani,Fungu boma,,
Kizingani,Fungu mwarenu,,
Kizingani,Fungu tabia,,
Tumbe,Kitwani,,
Tawalani,Kizizi,,
Tawalani,Fungu ndefu,,
Tawalani,Fungu fupi,,
Tawalani,Dongo kundu,,
Tawalani,Machaweni,,
Tawalani,Jutoni,,
Monga Vyeru,Maboyani,,
Monga Vyeru,Kinazini,,
Monga Vyeru,Gongo amiri,,
Monga Vyeru,Kimaa,,
Shidi,Vijiwe vitatu,,
Shidi,Kwa bipopo,,
Shidi,Shimoni,,
Shidi,Jaalani,,
Shidi,Makutani,,
Shidi,Mawe papa,,
Mtundani,Chamba cha gotero,,
Mtundani,Chamba cha kijiweni,,
Mtundani,Chamba cha mvumoni,,
Mtundani,Maboyani,,
Mtundani,Chamba cha melini,,
Ndaoya,Mwamba nyama,,
Mabokweni,Diko la Mvuuni,,
Kukuu,Nduani,,
Kukuu,Chekwe,,
Kukuu,Machemeni,,
Kukuu,Gomeni,,
Kukuu,Nyuma mji,,
Kukuu,Muinzi,,
Kukuu,Kibenderani,,
Kukuu,Matumbini,,
Kukuu,Vijiwe vitatu,,
Kukuu,Kiweni,,
Kiuyu,Ng'ande,,
Kiuyu,Kiweni,,
Kiuyu,Pwachi,,
Ziwani,Kokota,,
Ziwani,Pasi,,
Ziwani,Pembe,,
Shidi,Mvumoni,,
Shidi,Kitanlini,,
Shidi,Makoongwe,,
Mtundani,Mto pacha,,
Mtundani,Chamba cha mti mmoja,,
Kwale Tanga,Tawalani,,
Kwale Tanga,Mnarani,,
Kwale Tanga,Kinazini,,
Kwale Tanga,Kwawa,,
Kisiwa Panza,Kisiwa koongo,,
Kisiwa Panza,Kangale,,
Kisiwa Panza,Mchanga Mkuu,,
Shumba,Jiwe mtu,,
Mtundani,Chamba cha mnazini,,
Kwale Tanga,Mwanan'gombe,,
Michenzani,Jiqe membe,,
Michenzani,Mapuka,,
Shidi,Matumbini,,
Ziwani,Kijambani,,
Kisiwa Panza,Fuukombeni,,
Kisiwa Panza,Kwa Jundo,,
Kisiwa Panza,Kwaka,,
Kisiwa Panza,Kwa Ufunguo,,
Chongoleani,Kinazini,,
Stahabu,Vijiwe vitatu,,
Stahabu,Minarani,,
Stahabu,Jomani,,
Stahabu,Kwasharifu,,
Stahabu,Chamba cha kangu,,
Stahabu,Kipwa cha kati,,
Stahabu,Bwachi parua,,
Stahabu,Muhazingwa,,
Stahabu,Kipwa kome,,
Stahabu,Mwamba kipande,,
Kwale Tanga,Matisharini,,
Kwale Tanga,Vitundu vitatu,,
Ziwani,Uvinje,,
Kwale Tanga,Mivinjeni,,
Kwale Tanga,Mwamba,,
Kangani,Mawarani,,
Michungwani,Kokota,,
Michungwani,Ndagoni,,
Michungwani,Manooni,,
Michungwani,Ngagu,,
Shidi,Funguni,,
Tawalani,Kimwaga,,
Kwale,Majanini,,
Kwale,Mahujuu,,
Kukuu,Bahari kubwa,,
Ndaoya,Wamba,,
Ndaoya,Shimoni,,
Kwale Tanga,Birikani,,
Mwandusi,Mwavirizi,,
Mwandusi,Fungu boma,,
Mwandusi,Mataani,,
Mwandusi,Koleo,,
Shumba,Jiweni,,
Mtambwe Kusini,Pandwe,,
Kichalikani,Mikokoni,,
Ndaoya,Alamani,,
Monga Vyeru,Miamba mitano,,
Monga Vyeru,Miamba mitatu,,
Monga Vyeru,Mnarani,,
Tumbe,Funguni,,
Tumbe,Mchichani,,
Tawalani,Nagoka,,
Kisiwani,Chaani,,
Kisiwani,Pononi,,
Kisiwani,Funguni,,
Kisiwani,Manooni,,
Kisiwani,Mazioni,,
Michenzani,Nyuma Ya Fungu,,
Mtambwe Kusini,Vikunguni,,
Ziwani,Mkumbuu,,
Shidi,Mistarini,,
Shidi,Kwa mnene,,
Shidi,Kiboyani,,
Shidi,Boyani,,
Shidi,Mvumon,,
Shidi,Kipwa abasi,,
Shidi,Mavumoni,,
Stahabu,Mto tenga,,
Stahabu,Vitatuni,,
Michenzani,Jiwe Membe,,
Michenzani,Nyuma matumbini,,
Michungwani,Bahari mbili,,
Michungwani,Kota kubwa,,
Michungwani,Mazioni,,
Michungwani,Kijamba joto,,
Michungwani,Mahujuu,,
Mabokweni,Funguni la changani,,
Mabokweni,Mchanganyiko wa mwaundu,,
Mpirani,Kimio,,
Mpirani,Kwawa,,
Mpirani,Mnarani,,
Chongoleani,Gomeni,,
Chongoleani,Mlimani,,
Kangani,Mkondoni,,
Kwale Tanga,Fungu boma,,
Kisiwani,Pandu,,
Ziwani,Makochoo,,
Ziwani,Mahujuu,,
Ziwani,Kashani,,
Kiuyu,Mapakacha,,
Shidi,Ukai,,
Kizingani,Jego,,
Chokocho,Mto wa tatu,,
Mwandusi,Kiroba,,
Mwandusi,Milangoni,,
Shidi,Jiwe matandaza,,
Kiuyu,Kongooo,,
Kiuyu,Mwamba wa pili,,
Kiuyu,Mwamba wa tatu,,
Kiuyu,Mwamba wa kwanza,,
Ndaoya,Msiro,,
Kukuu,Ndiani,,
Monga Vyeru,Kitungamwe,,
Monga Vyeru,Boma mwambani,,
Monga Vyeru,Nyuli,,
Monga Vyeru,Kijumbani,,
Monga Vyeru,Mwamba nyama,,
Mabokweni,Mto kiongwe,,
Kichalikani,Maweni,,
Kichalikani,Mkumbi,,
Kwale Tanga,Vyongoni,,
Chongoleani,Mtoni,,
Putini,Mwamba nyama,,
Putini,Kijamba hasani,,
Putini,Kiruku,,
Putini,Miembeni,,
Makoongwe,Kijiwe mtama,,
Mpirani,Ulenge,,
Michungwani,Mawe papa,,
Michungwani,Ugongo mdogo,,
Michungwani,Kinazini,,
Michungwani,Iengwe,,
Michenzani,Nyama matumbini,,
Michenzani,Nyuma ya Fungu,,
Michenzani,Giwe membe,,
Michenzani,Bodo,,
Mtambwe Kusini,Mkumbuu,,
Mtambwe Kusini,Mvinjeni,,
Mtambwe Kusini,Vijiwe viwili,,
Mtundani,Machaweni,,
Mwandusi,Chundo,,
Mwandusi,Shimoni,,
Mwandusi,Manuka,,
Monga Vyeru,Mafunguni,,
Kwale Tanga,Mvinjeni,,
Monga Vyeru,Ngazini,,
Kwale Tanga,Mtoni,,
Kizingani,Kwatabia,,
Monga Vyeru,Msanakani,,
Monga Vyeru,Mwaore,,
Ndaoya,Roo,,
Kisiwani,Kwasharifu,,
Mtambwe Kusini,Kashani,,
Chokocho,Kitubwi,,
Shidi,Vibunju,,
Kukuu,Bahari ndogo,,
Ndaoya,Maanda,,
Kichalikani,Mwambani,,
Kichalikani,Majini,,
Kichalikani,Kiroba,,
Kizingani,Uchuwi,,
Kizingani,Jitoni,,
Mwandusi,Msiro,,
Mwandusi,Kinazini,,
Tumbe,Magambareni,,
Tumbe,Jamba nungwu,,
Tumbe,Kongoo ya kati,,
Kiuyu,Matoma,,
Kiuyu,Kongoo majini,,
Monga Vyeru,Gongo kubwa,,
Putini,Baoni,,
Putini,Hahanda,,
Putini,Malumbo,,
Putini,Uchuwi,,
Putini,Gomeni,,
Mpirani,Uzilo,,
Mpirani,Funguni,,
Mpirani,Jangwa kuu,,
Kizingani,Kwasoka,,
Mwandusi,Wamba funguni,,
Mwandusi,Mwamba undu,,
Mwandusi,Jiwe la wanda,,
Mwandusi,Wamba ugawani,,
Mwandusi,Mbaringo,,
Mwandusi,Msalakani,,
Mwandusi,Randaule,,
Tawalani,Mto wa meli,,
Tawalani,Kidibwa zimwi,,
Tawalani,Kijiweni,,
Tawalani,Makoroni,,
Tawalani,Mwangola,,
Tawalani,Masulini,,
Tawalani,Marukani,,
Tawalani,Mikonge,,
Tawalani,Mawe mawili,,
Tawalani,wamba,,
Ndaoya,Jiweni,,
Ndaoya,Hazina,,
Ndaoya,Mchumba,,
Ndaoya,Kwale,,
Ndaoya,Kiruku,,
Ndaoya,Transifoma,,
Ndaoya,Mbolea,,
Ndaoya,Fyafu,,
Ndaoya,Kiboyani,,
Mtundani,Wavu wa shimo,,
Mtundani,Kioni,,
Mtundani,Milangoni,,
Mtambwe Kusini,Manooni,,
Mtambwe Kusini,Kipwani,,
Mtambwe Kusini,Muwangwi,,
Mtambwe Kusini,Mwamba sada,,
Mtambwe Kusini,Kikunjuu,,
Mtambwe Kusini,Kipwaharusi,,
Mtambwe Kusini,Mvumokiongo,,
Mtambwe Kusini,Baoni,,
Mtambwe Kusini,Kijaani,,
Mtambwe Kusini,Misali,,
Mtambwe Kusini,Mawe ng'ombe,,
Mtambwe Kusini,Shapandu,,
Mtambwe Kusini,Komboame,,
Mtambwe Kusini,Maua,,
Ziwani,Mikoroshoni,,
Ziwani,Mto wa mkauni,,
Ziwani,Mto wa Kinazini,,
Ziwani,Kipiani,,
Kukuu,Meli mbovu,,
Kwale,Kivunja,,
Kwale,Ngagu,,
Kwale,Fungu ya lengwe,,
Kwale,Bi pembe,,
Kwale,Kwa mahenge,,
Kwale,Kiuli,,
Kwale,Kwa kikofia,,
Kwale,Kwatii,,
Kwale,Kibanda nguruwe,,
Kwale,Kijito uvundo,,
Kwale,Mgongo mrefu,,
Kwale,Mgongo mdogo,,
Shumba,Kongoo ya kiuyu,,
Shumba,Kagera,,
Shumba,Kundeni,,
Shumba,Kiweni,,
Shumba,Mapakacha,,
Shumba,Kumwilikiza,,
Shumba,Majunguni,,
Shumba,Changa fusini,,
Shumba,Kongoo ya kati,,
